NML_ENT GBIF_Chr00000343,Hymenoptera,Chrysididae,Cleptinae,,Cleptes,,schmidti,,Linsenmaier 1968,Holotype,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
NML_ENT GBIF_Chr00000345,Hymenoptera,Chrysididae,Cleptinae,,Cleptes,,affulgens,,Linsenmaier 1994b,Holotype,"Linsenmaier W. 1994b. Beiträge zu CleptesLatreille,1802. (Hymenoptera, Chrysididae). Entomofauna, Band 15, Heft 45: 513-20."
NML_ENT GBIF_Chr00046455,Hymenoptera,Chrysididae,Cleptinae,,Cleptes,,sfenthourakisi ,,Rosa & Makris in Rosa et al. 2022,Holotype,"Rosa, P., Makris, C. & Boustani, M. (2022b) Description of three new Cleptes species from Cyprus and Lebanon with updates and revisions checklist to the genus (Hymenoptera, Chrysididae). Taxonomy, 2, 208–226."
NML_ENT GBIF_Chr00046457,Hymenoptera,Chrysididae,Cleptinae,,Cleptes,,christi,,Rosa & Makris in Rosa et al. 2022,Holotype,"Rosa, P., Makris, C. & Boustani, M. (2022b) Description of three new Cleptes species from Cyprus and Lebanon with updates and revisions checklist to the genus (Hymenoptera, Chrysididae). Taxonomy, 2, 208–226."
NML_ENT GBIF_Chr00046456,Hymenoptera,Chrysididae,Cleptinae,,Cleptes,,adonis,,Rosa & Boustani in Rosa et al. 2022,Holotype,"Rosa, P., Makris, C. & Boustani, M. (2022b) Description of three new Cleptes species from Cyprus and Lebanon with updates and revisions checklist to the genus (Hymenoptera, Chrysididae). Taxonomy, 2, 208–226."
NML_ENT GBIF_Chr00001010,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,punctulatus,tricolor,Linsenmaier 1999,Holotype,"Linsenmaier W. 1999. Die Goldwespen Nordafrikas (Hymenoptera, Chrysididae). Entomofauna, Supplement 10: 281 pp."
NML_ENT GBIF_Chr00001018,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,perraudini,,Linsenmaier 1968,Holotype,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
NML_ENT GBIF_Chr00001370,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,chlorosomus,mallorcanus,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00001371,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,riyadhensis,,Linsenmaier 1994c,Holotype,"Linsenmaier W. 1994c. The Chrysididae (Insecta: Hymenoptera) of the Arabian Peninsula. Fauna of Saudi Arabia, vol. 14: 145-206."
NML_ENT GBIF_Chr00001553,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,pusillus,semicupreus,Linsenmaier 1959b,Holotype / Paratypes,"Linsenmaier W. 1959b. Revision der Familie Chrysididae (Hymenoptera). Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 32, Heft 2 u. 3: 233-240."
NML_ENT GBIF_Chr00001556,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,viridiminor,,Linsenmaier 1999,Holotype,"Linsenmaier W. 1999. Die Goldwespen Nordafrikas (Hymenoptera, Chrysididae). Entomofauna, Supplement 10: 281 pp."
NML_ENT GBIF_Chr00001577,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,horvathi,occidentus,Linsenmaier 1968,Holotype,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
NML_ENT GBIF_Chr00001694,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Philoctetes,jemenensis,,Linsenmaier 1994c,Holotype,"Linsenmaier W. 1994c. The Chrysididae (Insecta: Hymenoptera) of the Arabian Peninsula. Fauna of Saudi Arabia, vol. 14: 145-206."
NML_ENT GBIF_Chr00001055,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Omalus,bidentulus,,(Lepeletier 1806),Neotype,
NML_ENT GBIF_Chr00001737,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Holophris,luzonensis,,Rosa et al. 2016,Holotype,
NML_ENT GBIF_Chr00001707,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Philoctetes,tenerifensis,,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00046458,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Philoctetes,,acuminatus,,Rosa & Boustani 2022,Holotype,"Boustani, M. & Rosa, P. (2022) Survey of cuckoo wasps of Lebanon (Hymenoptera: Chrysididae) with description of four new species. Zootaxa, 5104 (1), 1–39"
NML_ENT GBIF_Chr00001767,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Chrysellampus,nigromaculatus,,(Linsenmaier 1997),Holotype,"Linsenmaier W. 1997. und Neues von den Chrysididen. (Hymenoptera, Chrysididae). Entomofauna, Band 18, Heft 19: 245-300."
NML_ENT GBIF_Chr00001957,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Elampus,turcmenicus,,Linsenmaier 1968,Holotype,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
NML_ENT GBIF_Chr00001958,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Omalus,Elampus,rufirostris,,Linsenmaier 1999,Holotype,"Linsenmaier W. 1999. Die Goldwespen Nordafrikas (Hymenoptera, Chrysididae). Entomofauna, Supplement 10: 281 pp."
NML_ENT GBIF_Chr00002090,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Elampus,,gladiator,,Rosa 2021,Holotype,
NML_ENT GBIF_Chr00002632,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,meknesia,,Linsenmaier 1999,Holotype,"Linsenmaier W. 1999. Die Goldwespen Nordafrikas (Hymenoptera, Chrysididae). Entomofauna, Supplement 10: 281 pp."
NML_ENT GBIF_Chr00002644,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,rubra,,Linsenmaier 1999,Holotype hinten /Paratype,"Linsenmaier W. 1999. Die Goldwespen Nordafrikas (Hymenoptera, Chrysididae). Entomofauna, Supplement 10: 281 pp."
NML_ENT GBIF_Chr00002647,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,mavromoustakisi,,Enslin 1939,Holotype,"Enslin E. 1939. Neue Beiträge zur Goldwespen-Fauna von Cypern. Entomologische Zeitschrift, LIII."
